entities: 131  relations: 5  max_triples: 5
Sample: [(('_academic', 'has_name', 'Martina Alan'), ('_academic', 'has_role', 'professor'), ('_academic', 'has_time', '_time'), ('_time', 'start_year', '1978'), ('_time', 'end_year', '1982')), (('_academic', 'has_name', 'Lulu MacKay'), ('_academic', 'has_role', 'masters researcher'), ('_academic', 'has_time', '_time'), ('_time', 'start_year', '2002'), ('_time', 'end_year', '2003')), (('_academic', 'has_name', 'Vojtech Mac Neachtain'), ('_academic', 'has_role', 'professor'), ('_academic', 'has_time', '_time'), ('_time', 'start_year', '1957'), ('_time', 'end_year', '1984')), (('_academic', 'has_name', 'Boglárka Rosenberg'), ('_academic', 'has_role', 'professor'), ('_academic', 'has_time', '_time'), ('_time', 'start_year', '1973'), ('_time', 'end_year', '1989')), (('_academic', 'has_name', 'Valerija Alger'), ('_academic', 'has_role', 'post doctoral researcher'), ('_academic', 'has_time', '_time'), ('_time', 'start_year', '1981'), ('_time', 'end_year', '1984'))]

Invalid graphs:
Count: 0
Sample: []



=== Compression from Prior Latent z ~ N(0,I) (Decoded Graphs) ===
Token 1 (id=83): bits = -0.000, entropy = 0.000
Token 2 (id=137): bits = -0.000, entropy = 0.000
Token 3 (id=63): bits = 1.208, entropy = 2.259
Token 4 (id=83): bits = -0.000, entropy = 0.000
Token 5 (id=134): bits = -0.000, entropy = 0.000
Token 6 (id=24): bits = -0.000, entropy = 0.000
Token 7 (id=83): bits = -0.000, entropy = 0.000
Token 8 (id=136): bits = -0.000, entropy = 0.000
Token 9 (id=16): bits = -0.000, entropy = 0.000
Token 10 (id=16): bits = -0.000, entropy = 0.000
Token 11 (id=138): bits = -0.000, entropy = 0.000
Token 12 (id=51): bits = 0.308, entropy = 0.852
Token 13 (id=16): bits = -0.000, entropy = 0.000
Token 14 (id=135): bits = -0.000, entropy = 0.000
Token 15 (id=81): bits = 0.103, entropy = 0.407
Token 16 (id=2): bits = -0.000, entropy = 0.000

[Compression Bits from z ~ N(0,I) (decoded graphs)]
  Avg: 1.39
  Min: 0.20
  Max: 3.31

=== Local Latent Neighborhood Exploration ===

--- Reference Graph (z₀) ---
(_academic, has_name, Kunti Andréasson)
(_academic, has_role, professor)
(_academic, has_time, _time)
(_time, start_year, 1989)
(_time, end_year, 2001)

--- Perturbed z #1 ---
(_academic, has_name, Kunti Andréasson)
(_academic, has_role, professor)
(_academic, has_time, _time)
(_time, start_year, 1989)
(_time, end_year, 2001)
# Overlapping triples with z₀: 5 / 5

--- Perturbed z #2 ---
(_academic, has_name, Vojtech Mac Neachtain)
(_academic, has_role, professor)
(_academic, has_time, _time)
(_time, start_year, 1989)
(_time, end_year, 1999)
# Overlapping triples with z₀: 3 / 5

--- Perturbed z #3 ---
(_academic, has_name, Nikita Serafim)
(_academic, has_role, professor)
(_academic, has_time, _time)
(_time, start_year, 1989)
(_time, end_year, 2001)
# Overlapping triples with z₀: 4 / 5

--- Perturbed z #4 ---
(_academic, has_name, Anita McCabe)
(_academic, has_role, professor)
(_academic, has_time, _time)
(_time, start_year, 1988)
(_time, end_year, 2001)
# Overlapping triples with z₀: 3 / 5

--- Perturbed z #5 ---
(_academic, has_name, Kunti Andréasson)
(_academic, has_role, professor)
(_academic, has_time, _time)
(_time, start_year, 1988)
(_time, end_year, 2001)
# Overlapping triples with z₀: 4 / 5

--- Perturbed z #6 ---
(_academic, has_name, Kunti Andréasson)
(_academic, has_role, professor)
(_academic, has_time, _time)
(_time, start_year, 1989)
(_time, end_year, 2001)
# Overlapping triples with z₀: 5 / 5

--- Perturbed z #7 ---
(_academic, has_name, Gríðr Oberst)
(_academic, has_role, professor)
(_academic, has_time, _time)
(_time, start_year, 1989)
(_time, end_year, 2001)
# Overlapping triples with z₀: 4 / 5

--- Perturbed z #8 ---
(_academic, has_name, Nikita Serafim)
(_academic, has_role, professor)
(_academic, has_time, _time)
(_time, start_year, 1989)
(_time, end_year, 2001)
# Overlapping triples with z₀: 4 / 5

--- Perturbed z #9 ---
(_academic, has_name, Vojtech Mac Neachtain)
(_academic, has_role, professor)
(_academic, has_time, _time)
(_time, start_year, 1989)
